6.347878 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:21
6.347885 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 21 not found 
6.347889 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:21
6.347897 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 22 not found 
6.347900 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:22
6.347908 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 22 not found 
6.347916 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:22
6.347919 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 22 not found 
6.347923 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:22
6.347931 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 23 not found 
6.347935 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:23
6.347946 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 23 not found 
6.347950 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:23
6.347954 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 23 not found 
6.347958 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:23
6.347973 [mod=WIFI, lvl=ERROR] [tid=695] WIFI rdkGetIndexFromName : pIfaceName :  is not found
6.347980 [mod=WIFI, lvl=ERROR] [tid=695] WIFI CosaDmlWiFiApGetCfg : Couldn't find wlanIndex from IfName 
6.347996 [mod=WIFI, lvl=INFO] [tid=695] rbuscore.c:2340 RBus Enabled

6.348003 [mod=WIFI, lvl=INFO] [tid=695] rbus.c:2778 rbus open for component: t2_lib_ccsp-wifi-agent

6.348095 [mod=WIFI, lvl=INFO] [tid=695] rbus.c:2854  rbus open (t2_lib_ccsp-wifi-agent) success

